,Date,Close_A,Close_B,Returns_A,Returns_B,WeightA,InvestmentA,InvestmentB,Total_Returns,Variance,Expected_Utility_Current,Variance_Optimal,Expected_Utility_Optimal,TC,CEC,Min_Cost_Weight,Total_Costs,Low_Bound,High_Bound,Rebalance,New_WeightA
0,02/01/13,57.74,780.59,0.0,0.0,0.6144999999999877,614499999.9999877,385500000.0000123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6144999999999877,0.0,0.0,0.0,0.0,0.6144999999999877
1,03/01/13,57.18,789.9,-0.00969864911673024,0.011926875824696648,0.6093701478969695,608540180.1177571,390097810.63043296,-0.0013620092518099591,0.0,0.0,5.085400641244441e-05,-2.5427003206222206e-05,9.099999999998998,-1066.44973629777,0.7054999999999777,0.0,0.6139999999999878,0.7969999999999676,1.0,0.6093701478969695
2,04/01/13,57.47,786.1,0.005071703392794724,-0.004810735536143751,0.6117196995051236,704539102.4728258,294098888.2753642,0.0012113277355660923,0.0,-0.0002958573027149487,9.376936619816529e-06,-0.0003005521632910748,4.399999999999515,-61.99569080322931,0.6584999999999829,-57.59569080322979,0.6139999999999878,0.702999999999978,1.0,0.7054999999999777
3,07/01/13,57.22,785.75,-0.004350095702105428,-0.00044523597506684887,0.6107895864029125,657603116.907666,341034873.84052396,-0.002833915593900449,0.0,-2.1813931507124646e-05,7.869595492412578e-08,-2.1853283437559795e-05,8.399999999999075,-60.592745598775366,0.530499999999997,-52.19274559877629,0.44700000000000034,0.6139999999999878,1.0,0.6584999999999829
4,08/01/13,56.9,785.09,-0.005592450192240528,-0.0008399618199171899,0.6096555535508013,529777454.09191173,468860536.6562782,-0.003742732227233203,0.0,-0.00032416946836272417,9.099240251737756e-07,-0.0003246251100751067,4.799999999999471,-25.92644987586823,0.566499999999993,-21.126449875868758,0.5194999999999982,0.6139999999999878,0.0,0.530499999999997
5,09/01/13,57.19,791.84,0.005096660808435738,0.008597740386452557,0.6088277322761237,532477550.07937485,472891677.8279017,0.0064632877782915266,0.0,-0.0005847218517490439,-2.4973252406634444e-07,-0.0005845966488010769,10.749999999998817,-87.13632027035345,0.5069999999999996,-76.38632027035463,0.4005000000000003,0.6139999999999878,0.0,0.5296338253635949
6,10/01/13,57.92,794.72,0.01276446931281705,0.0036370984037179532,0.6109816716879314,539274343.427127,474611631.3944611,0.009194094935947694,0.0,-1.911238589244549e-05,7.764920973846535e-06,-2.2995188112233197e-05,3.5999999999996035,-36.86544947090198,0.6504999999999838,-33.265449470902375,0.6139999999999878,0.6869999999999797,1.0,0.5318885523808753
7,11/01/13,58.04,798.42,0.002071823204419898,0.004655727803503096,0.6103694052635575,659532826.6214266,354353148.2001615,0.0030770094520731206,0.0,0.0005536858868172226,-8.842417025640132e-07,0.0005541268817769346,16.249999999998735,-153.58191096659368,0.45200000000000035,-137.33191096659493,0.2900000000000002,0.6139999999999878,1.0,0.6504999999999838
8,14/01/13,58.11,800.19,0.0012060647829084115,0.002216878334711181,0.6101293989935975,458276460.6193581,555609514.2022299,0.0015999086682649821,0.0,0.0006513364736141709,-1.5203835177941928e-06,0.0006520943885825901,26.549999999998747,-288.9439498776625,0.34900000000000025,-262.3939498776637,0.08400000000000006,0.6139999999999878,0.0,0.45200000000000035
9,15/01/13,58.02,798.88,-0.0015487867836860847,-0.0016371111860933318,0.6101504421690673,457566688.0938764,554699919.6514295,-0.0015832218715361446,0.0,0.0006561077711918176,-1.634701578680014e-06,0.0006569226560928014,29.299999999998747,-326.4506132083511,0.32150000000000023,-297.15061320835235,0.029000000000000022,0.6139999999999878,0.0,0.4520219125997325
